PID,Sale_Price
527165230,179440.859375
527180040,188731.890625
527216070,460459.375
527225035,209977.96875
527302110,211139.8125
527453130,146083.625
528108120,353232.375
528120060,392236.96875
528120090,245853.890625
528138020,317128.03125
528228285,164247.78125
528231020,179384.21875
528477080,232555.234375
528480090,245025.765625
531452180,205398.640625
531453010,145213.671875
532351140,128167.71875
532354090,152598.5625
533212020,157414.328125
533221090,171261.046875
533223020,169220.625
533223100,143616.359375
533244030,233716.265625
533253210,186850.1875
534102025,225479.59375
534151175,255740.28125
534152100,194515.5625
534202160,142884.375
534276360,118708.75
534401110,148911.734375
534475100,123830.3046875
535152010,124897.2578125
535152150,183033.40625
535180130,113770.796875
535302200,125371.1328125
535304060,114985.8046875
535327140,98536.9609375
535350040,131376.421875
535401080,159780.140625
535453070,159369.40625
535457090,142316.0625
535476350,174500.53125
535477020,154986.40625
902106140,111649.8828125
902125080,111523.0234375
902206040,129272.2890625
902206130,126492.84375
902305110,137441.625
902327040,118781.4453125
902329030,181742.265625
902401060,105237.734375
903204040,137727.390625
903206120,192850.21875
903227150,132910.84375
904100140,233076.109375
904101110,173333.046875
904350045,89552.5
904351040,89652.640625
905101300,121432.3203125
905101310,110780.0546875
905102060,130583.9765625
905104210,122211.5234375
905107110,172679.015625
905202090,134703.328125
905325030,228428.765625
905352140,225197.859375
905426060,76795.71875
905426200,141271.1875
905452110,122759.25
905453040,172344.5625
905475510,115849.1015625
906201030,176980.796875
906201120,213924.296875
906378100,254086.203125
906385020,185314.265625
906477110,145507.140625
907125090,153452.125
907185060,189312.15625
907200340,132468.078125
907290040,200643.265625
907401090,246028.640625
907410080,205074.125
908102060,66531.8671875
908102300,95412.5390625
908152080,134824.921875
908203100,97619.9609375
908226130,92249.1328125
909176150,119498.375
909250030,139100.609375
909250060,188337.21875
909427230,246539.28125
909428280,310777.78125
909475140,273646.96875
910202060,120100.0234375
911202100,83930.2890625
911204090,94890.8515625
911204100,87214.5390625
914467040,244737.328125
914478110,173058.703125
916125360,153672.828125
916455170,224443.59375
916475110,203626.34375
923202105,185342.5625
923204150,122324.625
923225440,95665.015625
923226250,89053.34375
923226320,72755.7578125
923230190,123490.5546875
923426070,134061.53125
924151040,266570.21875
924152030,208193.75
526351100,161890.6875
527105130,271778.84375
527108070,369367.9375
527132090,206362.3125
527163070,190818.984375
527166010,225152.546875
527301320,252742.953125
527326040,168502.046875
527354200,179540.828125
527365030,234963.53125
527375210,155121.109375
527378140,161577.71875
527401160,126757.0625
527402220,128026.25
527404030,134165.515625
527405160,121399.203125
527425060,108239.8515625
527450280,98144.3828125
527451650,123253.828125
527454050,135281.109375
527455050,144187.53125
527455280,157015.5
528102040,357710.5625
528102140,505058.75
528120030,343891.71875
528138010,367559.34375
528142130,280073.0625
528142150,258470.25
528166060,425278.59375
528166090,399245.28125
528172060,248495.875
528174050,200800.421875
528174060,196734.3125
528176030,441174.28125
528180120,341470.4375
528180130,255596.640625
528186010,309325.65625
528188060,176923.59375
528220040,173629.34375
528221070,178308.328125
528228435,193045.625
528228450,186950.546875
528228455,170401.015625
528228460,165905.65625
528235200,172944.6875
528253010,211383.203125
528275160,256524.625
528290120,185911.6875
528292030,270665.34375
528294050,170055.0625
528327070,365170.5625
528354050,289466.3125
528387030,255173.609375
528390210,233060.125
528456180,241962.4375
528458160,341838.28125
528480170,267769.28125
531363010,171740.921875
531363050,138732.96875
531382070,242199.3125
531477020,82907.078125
532354160,120548.8125
532354230,120176.78125
532376110,134469.46875
532378120,121921.765625
532378180,114933.515625
533135020,236989.609375
533206020,270447.03125
533213020,188144.578125
533213040,164191.40625
533221040,173118.453125
534127170,182621.578125
534128020,212844.296875
534129380,131924.453125
534151120,232728.0625
534152120,164698.578125
534175080,213009.609375
534202170,147728.515625
534226120,124406.1640625
534250400,188477.90625
534275060,130212.6484375
534275100,126287.5625
534276040,116708.609375
534278070,151838.3125
534278230,127176.1328125
534400050,173071.234375
534402060,134530.015625
534402170,181844.203125
534429150,174593.921875
534450150,80396.6171875
534451110,125651.34375
534475250,180725.640625
535104120,174129.8125
535125070,218374.8125
535150070,131391.46875
535175050,143217.796875
535304100,131828.234375
535351050,154642.6875
535354100,131200.25
535375010,102860.2265625
535376060,151540.453125
535382100,160283.328125
535383120,85240.6171875
535402010,174517.84375
535403210,130037.046875
535450070,138091.71875
535450160,87838.984375
535452090,123945.0234375
535452140,103154.4296875
535453200,139372.28125
535475010,150479.234375
902101010,110051.8046875
902103120,128432.2578125
902105050,121867.25
902135020,91100.4296875
902204080,90444.2578125
902207170,91688.1484375
902330040,171130.765625
902401130,135489.375
902402150,91360.921875
902406070,158195.859375
903201020,128478.5625
903202170,140867.453125
903226170,126047.7734375
903228070,103347.9140625
903232060,103707.6015625
903234220,134476.40625
903236040,107141.0546875
903425245,166995.5625
903429080,146027.46875
903430070,99893.015625
903451090,148446.65625
904100190,89146.8984375
904301070,165532.984375
904301100,136890.78125
904351240,92224.5859375
905225090,164826.015625
905377130,106846.0703125
905402060,144178.59375
905450020,143603.078125
905452050,86997.5546875
905476230,140609.078125
906201021,160937.046875
906201050,166586.28125
906223060,205159.984375
906223210,238095.109375
906226060,136551.125
906226080,150043.875
906226100,119372.75
906230010,283363.375
906340110,314325.40625
906340130,325730.21875
906378110,238433.890625
906380100,262836.6875
906392070,189917.03125
907126050,150165.125
907131090,208500.921875
907131190,199582.5625
907175100,189999.109375
907192030,187780.359375
907200230,113656.703125
907202080,137205.234375
907227290,134655.296875
907250070,248604.65625
907252060,237693.984375
907252220,252562.515625
907260030,192095.4375
907414080,175701.359375
907420040,170983.46875
908102290,98338.6015625
908151050,150281.453125
908152035,114316.8671875
908203090,112104.5
